Chengxiang Zhai
Tao Xie
Tanday Warnow
Mahesh Viswanathan
Josep Torrellas
Hari Sundaram
Marc Snir
Paris Smaragdis
Saurabh Sinha
Lui Sha
Rob Rutenbar
Dan Roth
Grigore Rosu
Manoj Prabhakaran
Leonard Pitt
Madhusudan Parthasarathy
Aditya Parameswaran
David Padua
Luke Olson
Klara Nahrstedt
Jose Meseguer
Darko Marinov
Svetlana Lazebnik
Steven Lavalle
Ranjitha Kumar
Robin Kravets
William Kramer
Alexandra Kolla
Andreas Kloeckner
Alex Kirlik
Karrie Karahalios
Laxmikant Kale
Sheldon Jacobson
Derek Hoiem
Julia Hockenmaier
John Hart
Sariel Peled
Jiawei Han
Indranil Gupta
Elsa Gunter
Carl Gunter
William Gropp
Brighten Godfrey
Maria Garzaran
Wai-Tat Fu
David Forsyth
Margaret Fleck
Paul Fischer
Jeff Erickson
Jerry Dejong
Kevin Chang
Chandra Chekuri
Roy Campbell
Matthew Caesar
Marco Caccamo
Brian Bailey
Gul Agha
Vikram Adve
Sarita Adve
Tarek Abdelzaher
